28,338,5
15,272,3
1,181,4
14,4,3
16,416,3
10,324,2
10,421,4
29,205,1
16,75,3
26,231,4
15,16,4
17,282,5
16,198,3
18,96,4
28,41,2
13,338,5
8,4,3
29,186,4
1,266,5
9,98,5
22,91,5
0,0,4
19,170,1
7,338,4
0,209,3
0,274,4
21,259,4
15,292,4
15,338,5
28,170,4
15,128,5
14,158,2
16,254,3
16,266,4
17,4,4
17,325,5
28,74,3
3,160,3
20,146,4
9,245,3
9,164,1
21,324,5
28,292,3
10,447,3
10,13,3
21,267,3
6,338,5
3,99,3
14,245,4
16,484,3
17,386,5
16,201,2
0,325,3
10,468,5
29,84,5
28,128,3
20,13,3
21,391,3
24,4,5
28,158,3
3,2,1
19,91,3
22,4,5
16,13,3
10,338,5
0,109,4
16,61,3
0,335,4
21,99,3
16,338,3
28,171,2
1,302,4
3,117,5
28,308,4
21,169,3
28,181,5
16,102,3
21,387,5
20,117,3
17,446,5
28,206,1
10,170,4
13,260,5
15,344,4
4,111,2
28,384,1
26,117,5
1,183,4
7,266,5
0,222,3
16,128,4
0,468,4
28,183,4
1,88,2
14,338,3
16,426,2
21,215,2
28,490,2
4,473,3
4,272,4
2,7,2
16,312,3
20,77,4
10,181,4
0,483,5
17,387,5
10,135,1
16,387,3
29,450,3
0,399,3
28,448,2
2,2,1
9,158,5
17,246,5
28,301,3
24,235,4
5,3,1
0,338,4
16,282,3
26,359,4
21,359,3
21,484,3
21,101,3
5,101,2
0,421,3
3,359,2
28,477,2
21,155,3
9,170,5
29,436,5
17,99,5
9,491,5
21,490,3
4,328,3
28,46,3
14,91,4
26,4,1
1,466,4
16,146,5
6,312,3
13,14,4
10,138,3
29,146,5
29,99,3
16,292,4
27,266,4
10,245,2
16,14,4
17,485,5
4,3,3
28,101,2
0,46,4
17,71,5
10,266,5
20,96,3
16,465,3
16,183,3
7,418,4
16,158,3
10,171,2
16,235,3
16,270,4
9,146,5
1,99,5
29,244,4
0,303,3
0,292,5
16,155,3
21,4,4
6,432,5
10,272,2
0,135,3
28,354,3
10,318,2
29,266,5
29,267,5
10,182,3
21,316,4
9,466,5
28,231,2
17,416,5
29,293,4
0,61,2
18,91,4
16,170,3
20,183,3
28,14,2
0,171,3
29,466,5
0,266,3
16,184,3
5,91,3
13,138,3
4,146,4
0,14,3
24,164,4
28,146,3
18,338,4
4,209,4
0,26,4
10,128,4
28,29,2
10,303,4
29,468,3
17,61,5
3,465,1
28,205,2
20,91,3
17,108,5
28,429,2
16,421,3
9,182,1
7,170,5
13,164,3
23,99,4
28,291,4
14,194,3
14,235,3
16,272,4
29,189,2
28,132,2
17,274,5
17,268,5
29,292,5
10,381,2
3,253,4
17,300,5
14,181,3
20,99,4
29,176,2
16,391,3
20,447,4
16,407,3
21,91,5
16,325,3
4,103,4
21,209,4
19,171,5
1,198,4
21,266,5
17,335,5
28,413,2
14,183,4
0,169,4
28,182,5
6,4,4
21,407,3
19,4,3
16,96,2
17,147,5
15,4,4
29,490,4
16,99,4
29,169,4
4,281,4
1,170,4
20,390,3
19,183,1
28,325,3
9,214,5
10,209,1
9,342,5
24,170,4
20,491,3
17,184,5
18,418,5
17,483,5
13,169,3
16,56,3
17,332,5
10,401,3
13,181,4
15,266,4
28,201,3
20,266,4
17,92,5
16,8,3
7,4,3
0,493,3
3,447,4
9,468,4
0,74,3
28,324,2
21,421,3
14,170,4
10,420,3
1,1,5
16,445,2
26,266,4
29,201,5
0,387,4
4,245,4
9,447,5
7,371,4
7,101,3
17,32,5
14,451,3
17,215,5
3,266,1
26,282,5
